uav,sat,label,is_valid,loss
train/stlouis/uav-small/uav6119.png,train/stlouis/sat-small/sat6115.png,1,True,18975.062
train/chicago/uav-small/uav2630.png,train/chicago/sat-small/sat2664.png,1,True,16576.562
train/stlouis/uav-small/uav6081.png,train/stlouis/sat-small/sat6081.png,1,True,15860.254
train/stlouis/uav-small/uav6108.png,train/stlouis/sat-small/sat6108.png,1,True,15562.5625
train/stlouis/uav-small/uav6119.png,train/stlouis/sat-small/sat6119.png,1,True,15329.535
train/stlouis/uav-small/uav6099.png,train/stlouis/sat-small/sat6099.png,1,True,11569.691
train/sanfrancisco/uav-small/uav822.png,train/sanfrancisco/sat-small/sat814.png,1,True,11408.91
train/stlouis/uav-small/uav6115.png,train/stlouis/sat-small/sat6115.png,1,True,10946.391
train/chicago/uav-small/uav2724.png,train/chicago/sat-small/sat2726.png,1,True,10855.035
train/chicago/uav-small/uav2735.png,train/chicago/sat-small/sat2735.png,1,True,10699.316
train/chicago/uav-small/uav2724.png,train/chicago/sat-small/sat2724.png,1,True,10493.441
train/sanfrancisco/uav-small/uav822.png,train/sanfrancisco/sat-small/sat808.png,1,True,10050.0625
train/champaign/uav-small/uav7085.png,train/champaign/sat-small/sat4774.png,0,True,9737.681
train/chicago/uav-small/uav2668.png,train/chicago/sat-small/sat2664.png,1,True,9726.891
train/stlouis/uav-small/uav6099.png,train/stlouis/sat-small/sat6106.png,1,True,9689.941
train/champaign/uav-small/uav6637.png,train/champaign/sat-small/sat6637.png,1,True,9628.516
train/champaign/uav-small/uav5750.png,train/champaign/sat-small/sat4106.png,0,True,9483.032
train/champaign/uav-small/uav6637.png,train/champaign/sat-small/sat6625.png,1,True,9481.891
train/stlouis/uav-small/uav6826.png,train/stlouis/sat-small/sat6801.png,0,True,9455.663
train/boston/uav-small/uav1091.png,train/boston/sat-small/sat1064.png,1,True,9336.391
train/chicago/uav-small/uav2593.png,train/chicago/sat-small/sat1572.png,0,True,9324.693
train/stlouis/uav-small/uav6106.png,train/stlouis/sat-small/sat6099.png,1,True,9324.316
train/miami/uav-small/uav1381.png,train/miami/sat-small/sat1215.png,0,True,9233.258
train/boston/uav-small/uav1196.png,train/boston/sat-small/sat126.png,0,True,9195.761
train/miami/uav-small/uav1446.png,train/miami/sat-small/sat1577.png,0,True,9080.75
train/austin/uav-small/uav955.png,train/austin/sat-small/sat676.png,0,True,9068.099
train/chicago/uav-small/uav3058.png,train/chicago/sat-small/sat3058.png,1,True,9036.879
train/champaign/uav-small/uav6582.png,train/champaign/sat-small/sat1245.png,0,True,9035.394
train/springfield/uav-small/uav5333.png,train/springfield/sat-small/sat5365.png,0,True,9017.58
train/sanfrancisco/uav-small/uav811.png,train/sanfrancisco/sat-small/sat367.png,0,True,8992.373
train/atlanta/uav-small/uav1906.png,train/atlanta/sat-small/sat1889.png,1,True,8989.41
train/champaign/uav-small/uav5869.png,train/champaign/sat-small/sat6548.png,0,True,8968.682
train/chicago/uav-small/uav2630.png,train/chicago/sat-small/sat2630.png,1,True,8965.723
