uav,sat,label,is_valid,loss
train/stlouis/uav-small/uav6108.png,train/stlouis/sat-small/sat6108.png,1,True,16058.177
train/stlouis/uav-small/uav6081.png,train/stlouis/sat-small/sat6081.png,1,True,14982.433
train/stlouis/uav-small/uav6106.png,train/stlouis/sat-small/sat6106.png,1,True,13162.587
train/stlouis/uav-small/uav6099.png,train/stlouis/sat-small/sat6106.png,1,True,13155.349
train/stlouis/uav-small/uav6099.png,train/stlouis/sat-small/sat6099.png,1,True,12574.168
train/stlouis/uav-small/uav6106.png,train/stlouis/sat-small/sat6099.png,1,True,12548.864
train/stlouis/uav-small/uav6119.png,train/stlouis/sat-small/sat6115.png,1,True,12190.126
train/stlouis/uav-small/uav6083.png,train/stlouis/sat-small/sat6671.png,1,True,11593.826
train/chicago/uav-small/uav2735.png,train/chicago/sat-small/sat2735.png,1,True,11206.009
train/springfield/uav-small/uav6080.png,train/springfield/sat-small/sat6080.png,1,True,11060.721
train/springfield/uav-small/uav6080.png,train/springfield/sat-small/sat6082.png,1,True,10990.282
train/chicago/uav-small/uav2724.png,train/chicago/sat-small/sat2724.png,1,True,10818.741
train/sanfrancisco/uav-small/uav856.png,train/sanfrancisco/sat-small/sat856.png,1,True,10797.214
train/chicago/uav-small/uav2724.png,train/chicago/sat-small/sat2726.png,1,True,10503.039
train/stlouis/uav-small/uav6015.png,train/stlouis/sat-small/sat6015.png,1,True,10060.82
train/stlouis/uav-small/uav6119.png,train/stlouis/sat-small/sat6119.png,1,True,9813.191
train/miami/uav-small/uav1537.png,train/miami/sat-small/sat1537.png,1,True,9731.2295
train/champaign/uav-small/uav6411.png,train/champaign/sat-small/sat6116.png,1,True,9575.37
train/miami/uav-small/uav1556.png,train/miami/sat-small/sat1556.png,1,True,9514.901
train/chicago/uav-small/uav2935.png,train/chicago/sat-small/sat2947.png,1,True,9422.769
train/miami/uav-small/uav1556.png,train/miami/sat-small/sat1584.png,1,True,9402.657
train/springfield/uav-small/uav6353.png,train/springfield/sat-small/sat3745.png,0,True,9388.086
